Athlete;Nation;EventDate;Year;Competition;Event;Qualified;Apparatus;Dscore;Escore;Penalties;FinalScore;Rank
YULO Carlos Edriel;PHI;05/11/2022;2022;World Championships;Liverpool WC 2022;Y;FX;6.400;8.866;;15.266;1
DOI Ryosuke;JPN;05/11/2022;2022;World Championships;Liverpool WC 2022;Y;FX;6.200;8.566;;14.766;2
KARIMI Milad;KAZ;05/11/2022;2022;World Championships;Liverpool WC 2022;Y;FX;6.300;8.433;;14.733;3
REGINI-MORAN Giarnni;GBR;05/11/2022;2022;World Championships;Liverpool WC 2022;Y;FX;6.200;8.333;;14.533;4
ZHANG Boheng;CHN;05/11/2022;2022;World Championships;Liverpool WC 2022;Y;FX;6.100;8.400;;14.500;5
RYU Sunghyun;KOR;05/11/2022;2022;World Championships;Liverpool WC 2022;Y;FX;5.900;8.566;;14.466;6
HASHIMOTO Daiki;JPN;05/11/2022;2022;World Championships;Liverpool WC 2022;Y;FX;6.000;8.466;;14.466;7
BARTOLINI Nicola;ITA;05/11/2022;2022;World Championships;Liverpool WC 2022;Y;FX;5.900;8.533;;14.433;8
TANIGAWA Kakeru;JPN;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.800;8.500;;14.300;9
OSBERGER Benjamin;FRA;05/11/2022;2022;World Championships;Liverpool WC 2022;R;FX;5.600;8.666;;14.266;10
BENOVIC Aurel;CRO;05/11/2022;2022;World Championships;Liverpool WC 2022;R;FX;6.100;8.366;-0.2;14.266;11
KIM Hansol;KOR;05/11/2022;2022;World Championships;Liverpool WC 2022;R;FX;6.000;8.266;;14.266;12
MESZAROS Krisztofer;HUN;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;6.000;8.333;-0.1;14.233;13
TANG Chia-Hung;TPE;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.500;8.666;;14.166;14
TANIGAWA Wataru;JPN;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.600;8.566;;14.166;15
HALL James;GBR;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.800;8.366;;14.166;16
ASIL Adem;TUR;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.800;8.333;;14.133;17
WHITTENBURG Donnell;USA;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;6.400;7.733;;14.133;18
MARIANO Arthur;BRA;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.500;8.600;;14.100;19
EMARD William;CAN;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.700;8.400;;14.100;20
GUIMARAES Yuri;BRA;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.900;8.166;;14.066;21
ZAPATA Rayderley;ESP;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;6.200;7.833;-0.1;13.933;22
FRASER Joe;GBR;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.700;8.300;-0.1;13.900;23
JARMAN Jake;GBR;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;6.700;7.200;;13.900;24
KARDOS Botond;HUN;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.700;8.166;;13.866;25
HONG Asher;USA;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;6.000;7.966;-0.1;13.866;26
CASALI Lorenzo Minh;ITA;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.500;8.333;;13.833;27
KRATTER Moreno;SUI;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.900;7.933;;13.833;28
CUNNINGHAM Dominick;IRL;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.700;8.100;;13.800;29
ONDER Ahmet;TUR;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.700;8.100;;13.800;29
SCHMIDT Casimir;NED;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.800;8.000;;13.800;31
MOHAMED Omar;EGY;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.500;8.233;;13.733;32
van den KEYBUS Luka;BEL;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.500;8.200;;13.700;33
ABBADINI Yumin;ITA;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.100;8.566;;13.666;34
DAUSER Lukas;GER;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.300;8.366;;13.666;35
HAGENAAR Jordi;NED;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.400;8.233;;13.633;36
KOSAK Mehmet Ayberk;TUR;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.500;8.100;;13.600;37
SOUZA Caio;BRA;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.600;8.066;-0.1;13.566;38
ONOSHIMA Takumi;BEL;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.600;7.966;;13.566;39
SYVERHUSET Niklas;NOR;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.400;8.233;-0.1;13.533;40
HEGGEMSNES Sofus;NOR;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.100;8.400;;13.500;41
MARC Razvan-Denis;ROU;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.600;7.900;;13.500;42
PLATA Joel;ESP;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;6.000;7.800;-0.3;13.500;43
SOARES Diogo;BRA;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.400;8.366;-0.3;13.466;44
TOMCSANYI Benedek;HUN;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.400;8.066;;13.466;45
WIBYE Harald;NOR;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.500;7.966;;13.466;46
KIM Jaeho;KOR;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.300;8.200;-0.1;13.400;47
ABAD Nestor;ESP;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.500;7.900;;13.400;48
de VEER Martijn;NED;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.200;8.166;;13.366;49
AZIZOV Ilyas;KAZ;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.800;7.866;-0.3;13.366;50
YEH Cheng;TPE;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.400;7.933;;13.333;51
YANG Jiaxing;CHN;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;6.100;7.200;;13.300;52
KIRMES Robert;FIN;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.400;7.966;-0.1;13.266;53
NAJJAR Lais;SYR;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.300;7.966;;13.266;54
BENDA Alexander;AUT;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.500;7.766;;13.266;55
BURTANETE Gabriel;ROU;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.600;7.666;;13.266;56
PATANIN Dmitriy;KAZ;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.900;7.566;-0.2;13.266;57
LEVANTESI Matteo;ITA;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.100;8.133;;13.233;58
MAYOL Santiago;ARG;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.400;7.833;;13.233;59
FREY Andrin;SUI;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;6.000;7.533;-0.3;13.233;60
AZIMOV Abdulla;UZB;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;4.900;8.266;;13.166;61
DUNKEL Nils;GER;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.100;8.166;-0.1;13.166;62
BALAZS Krisztian;HUN;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.300;7.866;;13.166;63
KUAVITA Noah;BEL;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.300;8.100;-0.3;13.100;64
KAJI Chris;CAN;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.100;8.000;;13.100;65
AFIFY Mohamed;EGY;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.100;8.000;;13.100;65
GENTGES Maxime;BEL;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.000;8.066;;13.066;67
SALADINO Leo;FRA;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.500;7.866;-0.3;13.066;68
BACUETI James;AUS;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.300;8.033;-0.3;13.033;69
CAMPOS Guilherme;POR;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.400;7.633;;13.033;70
JURAEV Utkirbek;UZB;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;4.000;9.000;;13.000;71
KHACHIKYAN Gagik;ARM;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;4.800;8.200;;13.000;72
DOLGOPYAT Artem;ISR;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.900;7.100;;13.000;73
CALVO MORENO Jossimar Orlando;COL;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.600;7.333;;12.933;74
